Baseline 100%T,,Baseline 0%T,,Stock_nm,Stock_abs,2x_nm,2x_abs,4x_nm,Fluro_UV_4x_abs,6x_nm,6x_abs,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
433.9998474,85.88884735,433.9998474,0.002417678013,433.9998474,0.3604914248,433.9998474,0.1686381251,433.9998474,0.08300232142,433.9998474,0.06533698738,
433.0011597,85.89324188,433.0011597,0.01363977324,433.0011597,0.3441223204,433.0011597,0.1619123667,433.0011597,0.07926926762,433.0011597,0.0628451705,
432.0022888,85.87282562,432.0022888,0.008975250646,432.0022888,0.3288651407,432.0022888,0.1544858515,432.0022888,0.07533291727,432.0022888,0.06057341024,
431.0032043,85.83384705,431.0032043,0.01644505002,431.0032043,0.3130941987,431.0032043,0.147250101,431.0032043,0.07140019536,431.0032043,0.05788776651,
430.0039368,85.84051514,430.0039368,-0.005843510851,430.0039368,0.2966372669,430.0039368,0.1396170706,430.0039368,0.06814276427,430.0039368,0.05558090284,
429.0045166,85.80787659,429.0045166,-0.008874689229,429.0045166,0.2837565839,429.0045166,0.1333111972,429.0045166,0.06500854343,429.0045166,0.0538229309,
428.0048828,85.79311371,428.0048828,-0.008546642959,428.0048828,0.2704539895,428.0048828,0.1276040375,428.0048828,0.06193012744,428.0048828,0.05194310844,
427.0050964,85.81170654,427.0050964,-0.004037793726,427.0050964,0.2582965493,427.0050964,0.1218999922,427.0050964,0.05891473219,427.0050964,0.05032761395,
426.005127,85.73285675,426.005127,-0.01526659355,426.005127,0.2448525578,426.005127,0.1155978814,426.005127,0.0557365939,426.005127,0.04831733182,
425.0050354,85.77664948,425.0050354,0.01523113344,425.0050354,0.2319696397,425.0050354,0.1094579548,425.0050354,0.05328660831,425.0050354,0.04662229121,
424.0047302,85.75071716,424.0047302,-0.003361796495,424.0047302,0.2205668092,424.0047302,0.104415901,424.0047302,0.05029604957,424.0047302,0.04490097612,
423.0042725,85.72770691,423.0042725,-0.003347168211,423.0042725,0.2094234377,423.0042725,0.09871508926,423.0042725,0.04772213846,423.0042725,0.0434416011,
422.0036316,85.70967102,422.0036316,0.006806193385,422.0036316,0.1996695548,422.0036316,0.09451443702,422.0036316,0.04494059086,422.0036316,0.04186777398,
