Baseline 100%T,,Baseline 0%T,,Quinine_Stock_Wavelength,Quinine_Stock_abs,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,
530.0116577,93.00123596,530.0116577,-0.01319783647,530.0116577,0.0001356377616,
528.9942627,92.91790009,528.9942627,-0.007470491342,528.9942627,2.301323548E-005,
528.0144043,92.86385345,528.0144043,-0.01148072723,528.0144043,0.0001450115087,
526.996582,92.69808197,526.996582,0.006472910754,526.996582,0.0001382789633,
526.0162354,92.58039856,526.0162354,0,526.0162354,3.701851165E-005,
524.9979858,92.47688293,524.9979858,0.004741359036,524.9979858,0.0001329447987,
524.0172119,92.33066559,524.0172119,0.01093613356,524.0172119,-6.947237853E-005,
522.9984741,92.19538116,522.9984741,0,522.9984741,-0.0001098979119,
522.0172729,92.06784058,522.0172729,0.003385927994,522.0172729,7.233141514E-005,
520.9981079,91.95503998,520.9981079,-0.003343698801,520.9981079,0.000103012484,
520.0164795,91.81199646,520.0164795,0.0203514006,520.0164795,0.0001337733993,
518.9968262,91.7140274,518.9968262,0.01248517353,518.9968262,0.0001525728148,
518.0147705,91.56121826,518.0147705,0.005767844617,518.0147705,4.887545947E-005,
516.9946899,91.40345001,516.9946899,0.003209139686,516.9946899,-3.261619668E-006,
516.0122681,91.31423187,516.0122681,-0.006850253791,516.0122681,0.000177873022,
514.9916382,91.21153259,514.9916382,-0.008398068137,514.9916382,0.0002582116285,
514.008728,91.08361816,514.008728,-0.02958689258,514.008728,0.0001117641077,
512.9877319,90.92356873,512.9877319,0,512.9877319,8.231815627E-006,
512.0043945,90.88458252,512.0043945,0.02393203229,512.0043945,0.0001829487737,
510.9830017,90.77948761,510.9830017,0.01860742085,510.9830017,0.0001765781926,
509.9992065,90.71904755,509.9992065,0.02249887399,509.9992065,0.0004408546374,
509.0152283,90.57920837,509.0152283,0.01538935024,509.0152283,0.0002727166284,
507.9931641,90.51649475,507.9931641,0.008059316315,507.9931641,0.0001309250802,
507.0087585,90.44642639,507.0087585,-0.03318400308,507.0087585,0.0002323369263,
505.9862366,90.3944931,505.9862366,0.01303044893,505.9862366,0.0003222704108,
505.0014343,90.33232117,505.0014343,0.01756311767,505.0014343,0.0002155800757,
504.0163879,90.32067108,504.0163879,-0.003980099224,504.0163879,0.000580492313,
502.9932556,90.24274445,502.9932556,0.02479953691,502.9932556,0.0005259847385,
502.007782,90.17961121,502.007782,-0.004524067976,502.007782,0.000634410535,
500.9841919,90.18771362,500.9841919,-0.005328218453,500.9841919,0.0004843634961,
499.9983521,90.15412903,499.9983521,-0.007935563102,499.9983521,0.0005200756132,
499.0122681,90.07341003,499.0122681,0.01206854917,499.0122681,0.0002900196705,
497.9880371,90.13122559,497.9880371,0.003732039593,497.9880371,0.0004391703405,
497.0015259,90.08270264,497.0015259,-0.006813381333,497.0015259,0.0004107715504,
496.0148315,90.08999634,496.0148315,0.01600768231,496.0148315,0.0005332675646,
494.9899597,90.01480103,494.9899597,-0.003403560258,494.9899597,0.0002351341245,
