T1,,
Time (min),Abs,
1.020833373,0.04103987291,
1.022500038,0.0411378704,
1.024166703,0.04067053273,
1.025833368,0.04054277018,
1.027500033,0.04021672904,
1.029166698,0.04044394195,
1.030833364,0.04012186453,
1.032500029,0.03985182941,
1.034166694,0.03994686529,
1.035833359,0.03963403404,
1.037500024,0.03953180835,
1.039166689,0.03939636052,
1.040833473,0.03914026171,
1.042500019,0.03912148252,
1.044166684,0.0388565436,
1.045833349,0.03888652474,
1.047500014,0.03866892681,
1.049166799,0.03835802898,
1.050833344,0.03838746622,
1.05250001,0.03802777454,
1.054166794,0.03788853064,
1.05583334,0.03775206953,
1.057500124,0.03769909963,
1.05916667,0.03748491779,
1.060833335,0.03746629134,
1.062500119,0.03734124824,
1.064166665,0.03719271719,
1.065833449,0.03692698106,
1.067500114,0.03679769486,
1.06916666,0.03663915396,
1.070833325,0.0363079235,
1.07250011,0.03609552607,
1.074166775,0.03605721518,
1.07583344,0.03613290936,
1.077499986,0.03597348928,
1.079166651,0.03583619371,
1.080833435,0.03556732461,
1.0825001,0.03545009717,
1.084166765,0.03520341963,
1.085833311,0.03494343907,
1.087499976,0.03486253694,
1.08916676,0.03472461179,
1.090833426,0.03462504968,
1.092500091,0.03455471992,
1.094166756,0.03439890221,
1.095833302,0.03432563692,
1.097500086,0.03417922556,
1.099166751,0.03381387889,
1.100833416,0.03391714394,
1.102500081,0.03390228376,
1.104166627,0.03380148485,
1.105833411,0.03345384449,
1.107500076,0.03345543891,
1.109166741,0.0331495367,
1.110833406,0.03318002075,
1.112499952,0.03272247314,
1.114166737,0.03301578388,
1.115833402,0.0326920487,
1.117500067,0.03259035945,
1.119166732,0.03243789449,
1.120833397,0.03247544169,
1.122500062,0.03238900006,
1.124166727,0.03223086149,
1.125833392,0.03198477998,
1.127500057,0.03193067014,
1.129166722,0.03198937699,
1.130833387,0.03192348033,
1.132500052,0.03160712868,
1.134166718,0.03138897195,
1.135833383,0.03153873235,
1.137500048,0.0312872529,
1.139166832,0.03121445514,
1.140833378,0.03095012531,
1.142500043,0.03085709549,
1.144166708,0.031131519,
1.145833373,0.0306043718,
1.147500157,0.03066745587,
1.149166703,0.03069557063,
1.150833368,0.03046826459,
1.152500033,0.03023358248,
1.154166698,0.03015996329,
1.155833483,0.03013224341,
1.157500029,0.02996008657,
1.159166694,0.02993864939,
1.160833359,0.02957371995,
1.162500024,0.02966578305,
1.164166808,0.02945987321,
1.165833473,0.02940433286,
1.167500019,0.029361872,
1.169166684,0.02923080511,
1.170833349,0.02918968908,
1.172500134,0.02908845432,
1.174166799,0.02885850146,
1.175833344,0.0285438206,
1.17750001,0.02850310318,
1.179166675,0.02866641432,
1.180833459,0.02831517905,
1.182500124,0.0282324627,
1.18416667,0.02816697024,
1.185833335,0.0281347651,
1.1875,0.02824575081,
1.189166784,0.02775023878,
1.190833449,0.02793167904,
1.192500114,0.02774488553,
1.19416666,0.0275662262,
1.195833325,0.02766332589,
1.19750011,0.02737757564,
1.199166775,0.02744372189,
1.20083344,0.02725482173,
1.202499986,0.02707363665,
1.204166651,0.02676611021,
1.205833435,0.02686848491,
1.2075001,0.02687410265,
1.209166765,0.02670015022,
1.210833311,0.02665368654,
1.212499976,0.02646185644,
1.21416676,0.02640251629,
1.215833426,0.02636884712,
1.217500091,0.02620202489,
1.219166756,0.02610574663,
1.220833302,0.02603414096,
1.222500086,0.0259330906,
1.224166751,0.02574775741,
1.225833416,0.02556390502,
1.227500081,0.02556154318,
1.229166627,0.02553123422,
1.230833411,0.02544791996,
1.232500076,0.0251823049,
1.234166741,0.02501325123,
1.235833406,0.02519528009,
1.237499952,0.02488743514,
1.239166737,0.02481378429,
1.240833402,0.02497916855,
1.242500067,0.02465616167,
1.244166732,0.02470008284,
1.245833397,0.02454496734,
1.247500062,0.02456030622,
1.249166727,0.02414652705,
1.250833392,0.02423011139,
1.252500057,0.02412624843,
1.254166722,0.02404120751,
1.255833387,0.02388383821,
1.257500052,0.02403590083,
1.259166718,0.02392874844,
1.260833383,0.02370326035,
1.262500048,0.02384631708,
1.264166832,0.02374333888,
1.265833378,0.02353721298,
1.267500043,0.02322592586,
1.269166708,0.02349081263,
1.270833373,0.02326951176,
1.272500157,0.02327702381,
1.274166703,0.02317672037,
1.275833368,0.02309871651,
1.277500033,0.02294318937,
1.279166698,0.02283507958,
1.280833483,0.02263311855,
1.282500029,0.02279622853,
1.284166694,0.02269336395,
1.285833359,0.02239173092,
1.287500024,0.02233880386,
1.289166808,0.02250562049,
1.290833473,0.02224942483,
1.292500019,0.0221345406,
1.294166684,0.02213230729,
1.295833349,0.02228787169,
1.297500134,0.02186342888,
1.299166799,0.02180689201,
1.300833344,0.02187401801,
1.30250001,0.02190840244,
1.304166675,0.02182349563,
1.305833459,0.02171019278,
1.307500124,0.02152880281,
1.30916667,0.02153108828,
1.310833335,0.0215488784,
1.3125,0.02134381793,
1.314166784,0.02122281305,
1.315833449,0.02106643282,
1.317500114,0.02128172107,
1.31916666,0.02112605423,
1.320833325,0.02112866193,
1.32250011,0.02116567828,
1.324166775,0.02094145678,
1.32583344,0.0208584778,
1.327499986,0.0208744742,
1.329166651,0.02078460902,
1.330833435,0.02059120126,
1.3325001,0.0206488017,
1.334166765,0.02036892995,
1.335833311,0.02050524764,
1.337499976,0.02024879307,
1.33916676,0.02021784708,
1.340833426,0.02007110231,
1.342500091,0.0201501362,
1.344166756,0.02004304342,
1.345833302,0.02002818882,
1.347500086,0.01998354495,
1.349166751,0.01981750503,
1.350833416,0.01990806311,
1.352500081,0.01968069747,
1.354166627,0.01987077482,
1.355833411,0.01962141134,
1.357500076,0.01953307725,
1.359166741,0.0197151266,
1.360833406,0.01939360052,
1.362499952,0.01948420703,
1.364166737,0.01937010512,
1.365833402,0.01933776215,
1.367500067,0.01927776448,
1.369166732,0.01923571341,
1.370833397,0.01920992695,
1.372500062,0.01894425787,
1.374166727,0.01914407685,
1.375833392,0.01884681731,
1.377500057,0.01889115386,
1.379166722,0.01861957461,
1.380833387,0.01857401989,
1.382500052,0.01890653931,
1.384166718,0.01874820702,
1.385833383,0.01844643801,
1.387500048,0.018320648,
1.389166832,0.01868499443,
1.390833378,0.01842880063,
1.392500043,0.01839685254,
1.394166708,0.01834319346,
1.395833373,0.01838667132,
1.397500157,0.01831224933,
1.399166703,0.01817966998,
1.400833368,0.01814587601,
1.402500033,0.01790238172,
1.404166698,0.01815445907,
1.405833483,0.01780075021,
1.407500029,0.01790076308,
1.409166694,0.01799475588,
1.410833359,0.01796100289,
1.412500024,0.01780007593,
1.414166808,0.01775989495,
1.415833473,0.01762050018,
1.417500019,0.01768280379,
1.419166684,0.01740782894,
1.420833349,0.01757912152,
1.422500134,0.01763581298,
1.424166799,0.01727126725,
1.425833344,0.01707632095,
1.42750001,0.01717686653,
1.429166675,0.01726084389,
1.430833459,0.01718007214,
1.432500124,0.01703103632,
1.43416667,0.01714619435,
1.435833335,0.01694363169,
1.4375,0.0170422364,
1.439166784,0.01700605452,
1.440833449,0.01694589294,
1.442500114,0.01689763553,
1.44416666,0.01668617688,
1.445833325,0.01660922356,
1.44750011,0.01651711762,
1.449166775,0.01685554534,
1.45083344,0.01673820429,
1.452499986,0.01640887372,
1.454166651,0.01636409014,
1.455833435,0.01630127616,
1.4575001,0.01637481526,
1.459166765,0.01645839587,
1.460833311,0.01602539979,
1.462499976,0.01635315083,
1.46416676,0.01626733318,
1.465833426,0.01615493372,
1.467500091,0.01585912146,
1.469166756,0.01602223143,
1.470833302,0.01575077325,
1.472500086,0.01600047573,
1.474166751,0.0158524625,
1.475833416,0.01581874304,
1.477500081,0.01591059379,
1.479166627,0.01570297033,
1.480833411,0.0156888254,
1.482500076,0.01579350792,
1.484166741,0.01585356332,
1.485833406,0.01574022509,
1.487499952,0.01534001622,
1.489166737,0.0155118648,
1.490833402,0.0155494241,
1.492500067,0.01525316574,
1.494166732,0.01536117494,
1.495833397,0.01552643161,
1.497500062,0.01545032673,
1.499166727,0.01533695962,
1.500833392,0.01499547902,
1.502500057,0.01513762493,
1.504166722,0.01520520356,
1.505833387,0.01510744449,
1.507500052,0.01499888208,
1.509166718,0.01515853219,
1.510833383,0.01491008978,
1.512500048,0.0146632893,
1.514166832,0.01477974933,
1.515833378,0.01479255129,
1.517500043,0.0148963742,
1.519166708,0.01474750508,
1.520833373,0.01464409195,
1.522500157,0.01463919226,
1.524166703,0.01465991605,
1.525833368,0.01460272912,
1.527500033,0.01458069682,
1.529166698,0.01446097158,
1.530833483,0.01448752079,
1.532500029,0.01431019232,
1.534166694,0.01449919026,
1.535833359,0.01431292109,
1.537500024,0.01439749636,
1.539166808,0.01426789723,
1.540833473,0.01433023065,
1.542500019,0.01421996299,
1.544166684,0.01427022461,
1.545833349,0.0142455874,
1.547500134,0.01405723486,
1.549166799,0.01409424096,
1.550833344,0.01400624868,
1.55250001,0.01403958816,
1.554166675,0.01408785023,
1.555833459,0.01383251045,
1.557500124,0.01419254765,
1.55916667,0.01406319719,
1.560833335,0.01394139603,
1.5625,0.01388291363,
1.564166784,0.01386901643,
1.565833449,0.01378596015,
1.567500114,0.01376912557,
1.56916666,0.0136936754,
1.570833325,0.01388195157,
1.57250011,0.01366989966,
1.574166775,0.01365232281,
1.57583344,0.01367839519,
1.577499986,0.01359879412,
1.579166651,0.01360691339,
1.580833435,0.01344828587,
1.5825001,0.0136476215,
1.584166765,0.01350900624,
1.585833311,0.01347140875,
1.587499976,0.01342503075,
1.58916676,0.01340126991,
1.590833426,0.01361700986,
1.592500091,0.0133481985,
1.594166756,0.01335049421,
1.595833302,0.0131371012,
