Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
4350;0.870192;0.726919;0.810175;0.763222;0.600653
4360;0.406641;0.967034;0.955767;0.993809;0.995331
4370;0.682523;0.667001;0.846782;0.581745;1.099640
4380;0.616292;0.715595;0.886576;1.002073;0.809357
4390;0.730885;0.808855;0.726821;0.623488;0.523293
4400;0.804730;0.892131;0.796884;0.716517;0.783103
4410;0.557054;0.711013;0.901938;0.613362;0.838080
4420;1.074846;0.727616;0.560417;0.740832;1.006905
4430;0.678671;0.697653;0.704403;0.914089;0.952605
4440;0.566934;0.812664;0.539576;0.944900;0.981780
4450;0.432547;0.752910;0.757322;0.779190;0.825893
