Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
2490;2.170129;2.186621;2.191959;2.369017;2.144884
2500;2.285563;2.029089;1.980041;2.082047;2.169726
2510;2.257598;2.027377;2.070422;2.129921;2.142618
2520;1.820083;1.998937;2.071347;2.055356;2.465249
2530;2.122128;1.786459;2.061389;2.115952;2.050995
2540;1.996276;2.290591;2.138122;2.094598;1.905648
2550;2.431891;1.792979;1.984859;2.076676;1.880059
2560;1.809670;1.771640;2.117496;1.959978;2.040304
2570;2.155569;1.800317;2.067827;2.248359;1.959685
2580;2.005692;2.017697;2.223310;1.971833;1.953696
2590;2.063231;1.973848;1.958635;1.995643;1.831959
2600;2.126591;1.661486;2.117267;2.051070;1.721824
2610;1.993322;1.727896;1.976654;2.048924;2.013584
2620;2.146734;2.019725;1.889824;2.066289;1.846279
2630;2.070246;1.892211;1.779405;1.865099;2.071405
2640;1.999069;1.925255;1.959049;1.915397;1.772303
2650;2.183697;2.195863;1.978892;2.062066;1.854789
2660;1.982430;2.163549;1.837500;1.738452;1.672698
2670;1.856950;1.933789;1.812061;1.893196;1.769150
2680;1.675991;2.033878;1.949718;1.848242;1.826712
2690;1.711430;1.975856;1.987988;1.741497;1.786150
2700;1.782572;1.891564;2.025885;1.815884;1.862474
2710;1.687143;1.833977;1.810429;1.814870;1.857269
2720;1.866829;1.507496;2.080024;1.785938;1.547755
2730;2.170757;1.651881;1.948709;1.706721;1.738715
2740;1.911753;1.777775;1.895773;1.854076;1.956947
2750;1.752382;1.966666;1.806180;2.036230;1.901806
2760;1.753049;1.795261;1.804018;1.782438;2.108234
2770;1.593731;1.702991;1.596805;1.905632;1.735090
2780;1.953547;1.735366;1.706167;1.871181;1.885381
2790;1.469795;1.791972;1.661375;1.698188;1.901334
2800;1.869786;1.582108;1.456795;1.800224;1.435305
2810;1.861081;1.488950;1.413139;1.580245;1.626983
2820;1.596241;1.632747;1.892018;1.901573;1.531576
2830;1.727175;1.651346;1.850987;1.925251;1.751596
2840;1.644978;2.157084;1.541395;1.687813;1.664708
2850;1.587115;1.593510;1.617134;1.610306;1.638800
2860;1.537701;1.852199;1.495373;1.623432;1.380830
2870;1.583638;1.505657;1.725698;1.551217;1.684021
2880;1.544931;1.554394;1.487190;1.691096;1.633867
2890;1.514640;1.549176;1.701857;1.698786;1.675280
2900;1.758560;1.643658;1.596855;1.541380;1.427672
2910;1.494373;1.589356;1.512405;1.604962;1.608013
2920;1.609415;1.474116;1.224118;1.480908;1.439469
2930;1.465672;1.623638;1.729382;1.558315;1.459610
2940;1.598526;1.663108;1.327028;1.324294;1.429281
2950;1.529776;1.444301;1.433802;1.279368;1.847838
2960;1.585865;1.750467;1.540520;1.443858;1.565507
2970;1.234973;1.135122;1.467713;1.225288;1.363971
2980;1.735806;1.526364;1.746950;1.637311;1.468202
2990;1.542192;1.396707;1.560337;1.397139;1.494922
3000;1.495781;1.308723;1.192438;1.526450;1.256710
3010;1.472574;1.452718;1.454200;1.443625;1.260141
3020;1.579599;1.337406;1.317117;1.269186;1.396134
3030;1.381937;1.326989;1.427989;1.521729;1.305315
3040;1.436622;1.446342;1.308526;1.343671;1.356592
3050;1.444828;1.367346;1.556768;1.294098;1.188877
3060;1.584684;1.339815;1.200819;1.645719;1.618240
3070;1.189432;1.207709;1.440921;1.284709;1.275915
3080;1.333571;1.429365;1.375533;1.568743;1.565629
3090;1.080830;1.381685;1.113081;1.413752;1.398316
3100;1.517128;1.454855;1.154609;1.203590;1.170877
3110;1.372675;1.611843;1.400223;1.479900;1.062054
3120;1.248650;1.394451;1.299984;1.493774;1.484971
3130;1.530434;1.315598;1.149649;1.071409;1.138533
3140;1.493374;1.578700;1.425846;1.044945;1.546699
3150;1.508264;1.383172;1.408767;1.314036;1.576504
3160;1.083982;1.077609;1.195823;1.425919;1.510284
3170;1.344675;1.129746;1.316017;1.260674;1.266080
3180;1.226564;1.482859;1.196099;1.151491;1.180287
3190;1.443746;1.203335;1.253921;1.202930;1.414501
3200;0.923748;1.345286;1.004721;1.496357;1.370215
