MgCl EDTA 21Feb GroupA_X,MgCl EDTA 21Feb GroupA_Y
17.233333,9.79381
17.25,9.79351
17.266667,9.79353
17.283333,9.79353
17.3,9.79336
17.316667,9.79323
17.333333,9.79316
17.35,9.79327
17.366667,9.79331
17.383333,9.79328
17.4,9.79316
17.416667,9.79304
17.433333,9.79311
17.45,9.79346
17.466667,9.79383
17.483333,9.79414
17.5,9.7943
17.516667,9.79436
17.533333,9.79446
17.55,9.79441
17.566667,9.7942
17.583333,9.7943
17.6,9.79454
17.616667,9.7947
17.633333,9.79508
17.65,9.79503
17.666667,9.79509
17.683333,9.79519
17.7,9.79483
17.716667,9.79439
17.733333,9.79381
17.75,9.79485
17.766667,9.79605
17.783333,9.79519
17.8,9.81702
17.816667,9.83596
17.833333,9.83842
17.85,9.83355
17.866667,9.82409
17.883333,9.81721
17.9,9.81466
17.916667,9.80994
17.933333,9.80732
17.95,9.80593
17.966667,9.8048
17.983333,9.80373
18,9.80246
18.016667,9.80146
18.033333,9.80088
18.05,9.8
18.066667,9.79908
18.083333,9.79864
18.1,9.79814
18.116667,9.79768
18.133333,9.79727
18.15,9.7969
18.166667,9.79647
18.183333,9.79615
18.2,9.7957
18.216667,9.79536
18.233333,9.79508
18.25,9.79486
18.266667,9.79483
18.283333,9.79464
18.3,9.7945
18.316667,9.79448
18.333333,9.79417
18.35,9.79389
18.366667,9.7938
18.383333,9.7937
18.4,9.79368
18.416667,9.7934
18.433333,9.79304
18.45,9.793
18.466667,9.7931
18.483333,9.79306
18.5,9.79334
18.516667,9.79441
18.533333,9.79495
18.55,9.78935
18.566667,9.78494
18.583333,9.79853
18.6,9.82216
18.616667,9.85362
18.633333,9.87635
18.65,9.89479
18.666667,9.90776
18.683333,9.9086
18.7,9.90504
18.716667,9.90047
18.733333,9.8965
18.75,9.88775
18.766667,9.88165
18.783333,9.87748
18.8,9.87183
18.816667,9.86471
18.833333,9.85684
18.85,9.85112
18.866667,9.84239
18.883333,9.83627
18.9,9.8315
18.916667,9.82806
18.933333,9.82108
18.95,9.81597
18.966667,9.813
18.983333,9.81023
19,9.80713
19.016667,9.80444
19.033333,9.80217
19.05,9.80098
19.066667,9.79967
19.083333,9.79843
19.1,9.79758
19.116667,9.79671
19.133333,9.79521
19.15,9.79402
19.166667,9.7934
19.183333,9.79279
19.2,9.79248
19.216667,9.79225
19.233333,9.79172
19.25,9.79124
19.266667,9.79078
19.283333,9.79054
19.3,9.79006
19.316667,9.78977
19.333333,9.7896
19.35,9.78937
19.366667,9.78888
19.383333,9.78838
19.4,9.78828
19.416667,9.78837
19.433333,9.78839
19.45,9.78839
19.466667,9.7883
19.483333,9.78839
19.5,9.7884
19.516667,9.78801
19.533333,9.78812
19.55,9.78813
19.566667,9.7882
19.583333,9.78833
19.6,9.78825
19.616667,9.7883
19.633333,9.78832
19.65,9.78853
19.666667,9.78864
19.683333,9.7886
19.7,9.78849
19.716667,9.78841
19.733333,9.78841
19.75,9.78851
19.766667,9.78842
19.783333,9.78831
19.8,9.78815
19.816667,9.78807
19.833333,9.78805
19.85,9.78799
19.866667,9.78785
19.883333,9.7881
19.9,9.7884
19.916667,9.78829
19.933333,9.78823
19.95,9.78808
19.966667,9.78796
19.983333,9.78793
20,9.78787
20.016667,9.788
20.033333,9.78799
20.05,9.78784
20.066667,9.78793
20.083333,9.78792
20.1,9.78807
20.116667,9.78814
20.133333,9.78816
20.15,9.78836
20.166667,9.78846
20.183333,9.78836
20.2,9.78835
20.216667,9.78835
20.233333,9.78842
20.25,9.78874
20.266667,9.78881
20.283333,9.78888
20.3,9.78909
20.316667,9.78919
20.333333,9.78921
20.35,9.78941
20.366667,9.78947
20.383333,9.78952
20.4,9.78959
20.416667,9.78971
20.433333,9.78973
20.45,9.78978
20.466667,9.78974
20.483333,9.7894
20.5,9.78908
20.516667,9.78904
20.533333,9.78906
20.55,9.78927
20.566667,9.78937
20.583333,9.78927
20.6,9.78925
20.616667,9.78933
20.633333,9.78948
20.65,9.78952
20.666667,9.78948
20.683333,9.78935
20.7,9.78927
20.716667,9.78909
20.733333,9.78909
20.75,9.78888
20.766667,9.78893
20.783333,9.78897
20.8,9.78905
20.816667,9.78919
20.833333,9.78945
20.85,9.78951
20.866667,9.78943
20.883333,9.78919
20.9,9.78895
20.916667,9.78885
20.933333,9.78906
20.95,9.78905
20.966667,9.78956
20.983333,9.78953
21,9.78984
21.016667,9.78992
21.033333,9.79136
21.05,9.78686
21.066667,9.77413
21.083333,9.77314
21.1,9.78693
21.116667,9.81048
21.133333,9.83373
21.15,9.85173
21.166667,9.86662
21.183333,9.86946
21.2,9.86807
21.216667,9.8667
21.233333,9.86203
21.25,9.85926
21.266667,9.85542
21.283333,9.85167
21.3,9.84865
21.316667,9.84129
21.333333,9.83551
21.35,9.83365
21.366667,9.82932
21.383333,9.82305
21.4,9.81645
21.416667,9.81328
21.433333,9.81003
21.45,9.80757
21.466667,9.8052
21.483333,9.80296
21.5,9.80084
21.516667,9.79911
21.533333,9.79792
21.55,9.79647
21.566667,9.79521
21.583333,9.79393
21.6,9.79289
21.616667,9.79145
21.633333,9.79014
21.65,9.78908
21.666667,9.78846
21.683333,9.78779
21.7,9.78695
21.716667,9.78663
21.733333,9.78619
21.75,9.78572
21.766667,9.78513
21.783333,9.78439
21.8,9.7841
21.816667,9.78416
21.833333,9.78412
21.85,9.78429
21.866667,9.78433
21.883333,9.78416
21.9,9.78391
21.916667,9.78383
21.933333,9.78379
21.95,9.78364
21.966667,9.78376
21.983333,9.7838
22,9.78399
22.016667,9.78396
22.033333,9.78394
22.05,9.78408
22.066667,9.78419
22.083333,9.78407
22.1,9.78409
22.116667,9.78416
22.133333,9.78413
22.15,9.78404
22.166667,9.78398
22.183333,9.78415
22.2,9.78419
22.216667,9.78443
22.233333,9.78472
22.25,9.78469
22.266667,9.78468
22.283333,9.78476
22.3,9.78485
22.316667,9.78484
22.333333,9.78477
22.35,9.78486
22.366667,9.78482
22.383333,9.78487
22.4,9.78496
22.416667,9.78504
22.433333,9.78497
22.45,9.78495
22.466667,9.78495
22.483333,9.78501
22.5,9.78496
22.516667,9.78474
22.533333,9.78483
22.55,9.78472
22.566667,9.78459
22.583333,9.7846
22.6,9.78468
22.616667,9.78465
22.633333,9.78466
22.65,9.7848
22.666667,9.78489
22.683333,9.78495
22.7,9.78501
22.716667,9.78501
22.733333,9.78502
22.75,9.785
22.766667,9.78495
22.783333,9.78486
22.8,9.78471
22.816667,9.78452
22.833333,9.7845
22.85,9.78479
22.866667,9.78496
22.883333,9.7851
22.9,9.78508
22.916667,9.78506
22.933333,9.78508
22.95,9.78499
22.966667,9.78493
22.983333,9.78479
23,9.78478
23.016667,9.78478
23.033333,9.78465
23.05,9.78454
23.066667,9.78458
23.083333,9.78485
23.1,9.78493
23.116667,9.78525
23.133333,9.78573
23.15,9.78596
23.166667,9.78557
23.183333,9.78549
23.2,9.78553
23.216667,9.78509
23.233333,9.78502
23.25,9.78515
23.266667,9.78528
23.283333,9.78572
23.3,9.78538
23.316667,9.78524
23.333333,9.78537
23.35,9.78538
23.366667,9.78519
23.383333,9.78523
23.4,9.78524
23.416667,9.78473
23.433333,9.78507
23.45,9.78535
23.466667,9.78522
23.483333,9.78509
23.5,9.78518
23.516667,9.78664
23.533333,9.78876
23.55,9.78072
23.566667,9.76688
23.583333,9.7652
23.6,9.77047
23.616667,9.78497
23.633333,9.80024
23.65,9.81427
23.666667,9.82848
23.683333,9.83408
23.7,9.83671
23.716667,9.83628
23.733333,9.83571
23.75,9.83387
23.766667,9.83092
23.783333,9.82733
23.8,9.82403
23.816667,9.82059
23.833333,9.8171
23.85,9.81133
23.866667,9.80825
23.883333,9.80542
23.9,9.80308
23.916667,9.80035
23.933333,9.79781
23.95,9.79556
