1mM Cacl2 0.1mM EDTA Group B 21723_X,1mM Cacl2 0.1mM EDTA Group B 21723_Y
21.883333,9.72986
21.9,9.73105
21.916667,9.73215
21.933333,9.7332
21.95,9.73406
21.966667,9.73485
21.983333,9.73555
22,9.73615
22.016667,9.73669
22.033333,9.73718
22.05,9.73759
22.066667,9.73796
22.083333,9.738
22.1,9.7381
22.116667,9.73844
22.133333,9.73891
22.15,9.73922
22.166667,9.7394
22.183333,9.73959
22.2,9.73979
22.216667,9.74001
22.233333,9.74003
22.25,9.73998
22.266667,9.74002
22.283333,9.73998
22.3,9.73995
22.316667,9.74003
22.333333,9.73993
22.35,9.73976
22.366667,9.73975
22.383333,9.73973
22.4,9.73978
22.416667,9.74
22.433333,9.74012
22.45,9.73995
22.466667,9.73965
22.483333,9.73946
22.5,9.73937
22.516667,9.73939
22.533333,9.73942
22.55,9.73943
22.566667,9.73943
22.583333,9.73936
22.6,9.73925
22.616667,9.73922
22.633333,9.7392
22.65,9.73911
22.666667,9.73915
22.683333,9.73933
22.7,9.73944
22.716667,9.73944
22.733333,9.73938
22.75,9.73929
22.766667,9.73929
22.783333,9.73937
22.8,9.73944
22.816667,9.73941
22.833333,9.73932
22.85,9.73928
22.866667,9.73916
22.883333,9.73894
22.9,9.73896
22.916667,9.73907
22.933333,9.73904
22.95,9.73902
22.966667,9.73878
22.983333,9.73878
23,9.73887
23.016667,9.73891
23.033333,9.73878
23.05,9.73863
23.066667,9.73845
23.083333,9.7383
23.1,9.73815
23.116667,9.73804
23.133333,9.738
23.15,9.73802
23.166667,9.73811
23.183333,9.73813
23.2,9.73824
23.216667,9.73843
23.233333,9.73852
23.25,9.73848
23.266667,9.73859
23.283333,9.73863
23.3,9.73887
23.316667,9.73898
23.333333,9.73888
23.35,9.73878
23.366667,9.73869
23.383333,9.73896
23.4,9.73934
23.416667,9.73969
23.433333,9.73987
23.45,9.73965
23.466667,9.73944
23.483333,9.73949
23.5,9.73938
23.516667,9.73845
23.533333,9.7385
23.55,9.73451
23.566667,9.71159
23.583333,9.68606
23.6,9.66123
23.616667,9.63943
23.633333,9.63609
23.65,9.64029
23.666667,9.64651
23.683333,9.65184
23.7,9.66032
23.716667,9.66714
23.733333,9.66829
23.75,9.66582
23.766667,9.66844
23.783333,9.67196
23.8,9.6742
23.816667,9.67521
23.833333,9.67676
